scrip_code,symbol
544349,HMEML
544348,GBLOGISTIC
544347,CLN
544346,RRECL
544345,DENTA
544344,SHRIPISTON
544343,CNINFOTECH
544342,STALLION
544341,LGLL
544340,RIKHAV
544339,LAXMIDENTL
544338,CAPINVIT
544337,AVAX
544336,QUADFUTURE
544335,BRGIL
544334,INDOBELL
544333,SETL
544332,FABCLEAN
544331,DAVIN
544330,PARMESHWAR
544329,VANDU
544328,INDOFARM
544327,TECHNICHEM
544326,ECAPINSURE
544325,ITCHOTELS
544324,CITICHEM
544323,CONSUMER
544322,UNIMECH
544321,VENTIVE
544320,CARRARO
544319,SENORES
544318,MAMATA
544317,TRANSRAILL
544316,DAMCAPITAL
544315,CEWATER
544314,SANATHAN
544313,NACDAC
544312,HAMPS
544311,IGIL
544310,YASHHV
544309,IKS
544308,HILLTONE
544307,VMM
544306,SAILIFE
544305,MOBIKWIK
544304,JUNGLECAMP
544303,TTC
544302,INNOVANA
544301,ODIGMA
544296,NISUS
544295,PSPLATINA
544294,ROSSTECH
544293,SURAKSHA
544292,ONESOURCE
544291,RAJESH
544290,EIEL
544289,NTPCGREEN
544288,BLACKBUCK
544287,MANGALCOMP
544286,NIVABUPA
544285,SWIGGY
544283,ACMESOLAR
544282,SAGILITY
544281,ABINFRA
544280,AFCONS
544279,GODAVARIB
544278,OCCLLTD
544277,WAAREEENER
544276,DBEIL
544275,VAL30IETF
544274,HYUNDAI
544273,MGEL
544272,SHIVTEXCHEM
544271,GARUDA
544270,KGVL
544269,NPFL
544268,METAL
544267,SUBAM
544266,BANKPSU
544265,NEXXUS
544264,DIFFNKG
544263,KRN
544262,MANBA
544261,ARKADE
544260,NORTHARC
544259,PFL
544258,WCIL
544257,SAFE
544256,PNGJL
544254,TOLINS
544253,KROSS
544252,BAJAJHFL
544251,SSL
544250,SANOFICONR
544249,BALAJEE
544248,MCEL
544247,TOP10ADD
544246,RVTH
544245,NHL
544244,GALAPREC
544243,STYLEBAAZA
544242,TRAVELS
544241,MULTICAP
544240,RAYMONDLSL
544239,ECOSMOBLTY
544238,PREMIERENE
544237,RAPID
544236,RAL
544235,ORIENTTECH
544234,GLOBALE
544233,MFML
544232,INTERARCH
544231,BROACH
544230,SSDL
544229,METALIETF
544227,UNIECOM
544226,FIRSTCRY
544225,OLAELEC
544224,AFCOM
544223,CEIGALL
544222,AKUMS
544221,KIZI
544220,CTLLAB
544219,VVIPIL
544218,ABSLPSE
544217,SANSTAR
544216,OILIETF
544215,SBINEQWETF
544214,THREEMPAPE
544213,ACLD
544212,EVINDIA
544210,EMCURE
544209,BANSALWIRE
544207,RELIABLE
544205,NPL
544204,VRAJ
544203,ABDL
544202,STANLEY
544201,DFPL
544200,AFIL
544199,GEMENVIRO
544198,DEEDEV
544197,RETAIL
544196,BBNPNBETF
544195,COTFAB
544194,TOP100CASE
544193,MID150CASE
544192,IXIGO
544191,PURPLEFIN
544190,3CIT
544189,SATTRIX
544188,MAGENTA
544187,KRONOX
544186,TOTEM
544185,ADTECH
544184,BOROSCI
544183,ASSOCIATED
544181,AWFIS
544180,MIDSMALL
544179,GODIGIT
544178,PIOTEX
544177,AZTEC
544176,AADHARHFC
544175,TGIF
544174,TBOTEK
544173,FTL
544172,INDGN
544171,STAL
544170,DKUAL
544169,AMKAY
544168,VARYAA
544167,JNKINDIA
544166,EMMFORCE
544165,SHIVAM
544164,FAALCON
544163,GVL
544162,BHARTIHEXA
544161,DPABHUSHAN
544160,JAYKAILASH
544158,SRM
544157,VRUDDHI
544156,GCONNECT
544151,CHATHA
544150,KPGEL
544149,KRYSTAL
544144,PVSL
544143,ROYAL
544142,SCILAL
544141,PESB
544140,GOPAL
544139,KOURA
544138,JGCHEM
544137,INDUSINVIT
544136,RKSWAMY
544135,MUKKA
544134,PLATIND
544133,EXICOM
544131,GPTHEALTH
544130,SMALLCAP
544129,JUNIPER
544124,VSTL
544123,LICNMID100
544122,ENTERO
544121,RUDRAGAS
544120,CAPITALSFB
544119,RPTECH
544118,JSFB
544117,SIGNPOST
544112,JGTL
544111,PARKHOTELS
544110,HDFCPSUBK
544109,HEALTHADD
544108,GPSL
544107,BLSE
544106,MCFL
544105,HARSHDEEP
544102,ITBETA
544101,BRISK
544100,NOVAAGRI
544095,EPACK
544094,EUPHORIAIT
544093,BANKBETF
544092,NIFTYBETF
544091,QLL
544090,SHPLPUNE
544088,MEDIASSIST
544083,SHREE
544082,SWANAGRO
544081,JYOTICNC
544080,SHILINDORE
544079,DIGIDRIVE
544074,SBVCL
544073,MCPL
544072,AIKPIPES
544067,INNOVACAP
544066,SUNCLAY
544061,AZAD
544060,RBZJEWEL
544059,SHANTIDENM
544058,MUFTI
544057,HAPPYFORGE
544056,SMARITIME
544055,MUTHOOTMF
544054,SURAJEST
544053,MOTISONS
544052,BENCHMARK
544047,SIYARAM
544046,INOXINDIA
544045,DOMS
544044,INDIASHLTR
544042,BAJEL
544037,AMIC
544036,DEEPAKCHEM
544035,SPL
544030,FLAIR
544029,GANDHAR
544028,TATATECH
544027,FEDFINA
544026,IREDA
544025,ARROWHEAD
544023,KALYANI
544022,ASKAUTOLTD
544021,PROTEAN
544020,ESAFSFB
544015,MISHDESIGN
544014,HONASA
544013,KKSHL
544012,CELLO
544011,VPL
544009,BLUEJET
544008,MAXESTATES
544007,ALPHAETF
544006,ITETF
544005,ISCITRUST
544004,IRMENERGY
544003,PLAZACABLE
